Model,Accuracy,Precision,Recall,F1-score,ROC AUC Score,Computational Time
Logistic Regression Classifier EM,0.8494566375452802,0.723376049491825,0.5229196613959431,0.607026976916659,0.7328714395941675,0.8497986793518066
Logistic Regression Classifier Scaled EM,0.8565239008452304,0.7377435238706915,0.5503913112921258,0.6304427369191364,0.7472237873536026,0.5129218101501465
Decision Tree Classifier EM,0.8283258754172882,0.6146921716765793,0.6107650535058298,0.612722320141003,0.7506490016124847,3.304481029510498
Decision Tree Classifier Scaled EM,0.8264081255771006,0.6084004421285331,0.615396901453442,0.6118786723836747,0.7510696887958629,3.3049275875091553
Random Forest Classifier EM,0.8827331486611265,0.820307425849751,0.6051748921897461,0.6965073529411765,0.7836350781905939,53.65494680404663
Random Forest Classifier Scaled Mean,0.8836920235812202,0.82135170038743,0.6094873023478677,0.6997341157055103,0.7857912832696548,53.168843030929565
Gradient Boosting Classifier EM,0.8647276084949215,0.7658282740676496,0.5641271362402173,0.6496827002667158,0.7574026556663479,52.688796281814575
Gradient Boosting Classifier Scaled EM,0.8645145251793451,0.7636912462268219,0.5657243251876697,0.6499678869621066,0.7578359032889072,52.87303376197815
KNN Classifier EM,0.846224873925705,0.708126751455055,0.5246765692381409,0.6027522935779817,0.7314208073390778,3.2038636207580566
KNN Classifier Scaled EM,0.8542154982598196,0.71875,0.5657243251876697,0.6331218160693539,0.7512139916115085,3.183576822280884
AdaBoost Classifier EM,0.8559556786703602,0.7326440177252584,0.5545440025555023,0.6312727272727272,0.7483410975009781,10.490694046020508
AdaBoost Classifier Scaled EM,0.8553164287236309,0.7276702061211743,0.5582175371346431,0.6317787418655099,0.7492416634844333,10.510692119598389
