Model,Accuracy,Precision,Recall,F1-score,ROC AUC Score,Computational Time
Logistic Regression Classifier EM,0.8417580788615476,0.7164256198347108,0.4665321224352506,0.5650845386025667,0.7071704247502805,0.7639360427856445
Logistic Regression Classifier Scaled EM,0.8437592647494812,0.7113880742913001,0.48957282206525393,0.5799960151424587,0.7167181535937069,0.34471821784973145
Decision Tree Classifier EM,0.7869478209309221,0.5162086555866382,0.527581567440296,0.5218331531231806,0.6939172215944707,3.198547840118408
Decision Tree Classifier Scaled EM,0.7866142899495998,0.515399737876802,0.5290951900437268,0.5221576763485477,0.6942462355770492,3.294309139251709
Random Forest Classifier EM,0.8567299140231248,0.7623612512613521,0.5082408341742348,0.6098890010090818,0.7317323573856248,51.776493549346924
Random Forest Classifier Scaled Mean,0.8569152090127483,0.7639908837680426,0.5073999327278843,0.6098029307731178,0.7315495718397478,52.11202359199524
Gradient Boosting Classifier EM,0.8506522383634747,0.7399799599198397,0.49680457450386817,0.5944858120346146,0.7237326418483786,46.92686223983765
Gradient Boosting Classifier Scaled EM,0.850726356359324,0.7395104895104895,0.4979818365287588,0.5951758793969849,0.7242024402721748,44.423638343811035
KNN Classifier EM,0.8404610139341833,0.6872860077607852,0.5063908509922637,0.5831315967851264,0.7206352962062754,3.237896680831909
KNN Classifier Scaled EM,0.8354209902164246,0.672,0.4944500504540868,0.5697122371863191,0.7131200722847485,3.31809401512146
AdaBoost Classifier EM,0.8439816187370294,0.7159203980099502,0.48402287251934073,0.5775637166365643,0.7148700730122134,9.512400388717651
AdaBoost Classifier Scaled EM,0.8437592647494812,0.7216811891337775,0.47359569458459466,0.5718927701056052,0.7109874090377104,9.403229236602783
