Model,Accuracy,Precision,Recall,F1-score,ROC AUC Score,Computational Time
Logistic Regression Classifier Mean,0.8382342495915903,0.7090686274509804,0.4620667624980035,0.5595203558650035,0.7039292117280628,0.7449028491973877
Logistic Regression Classifier Scaled Mean,0.8428155408764827,0.7182964549131573,0.4821913432359048,0.577025993883792,0.7140600046316072,0.3005077838897705
Decision Tree Classifier Mean,0.7867036011080333,0.519486474094452,0.5428845232390992,0.5309278350515464,0.6996516053652682,2.408682107925415
Decision Tree Classifier Scaled Mean,0.7863839761346687,0.5188766114180479,0.5400095831336847,0.5292322141347734,0.6984196429163423,2.424725294113159
Random Forest Classifier Mean,0.8558846508985013,0.7675491863007043,0.5047117073949848,0.6089805357486991,0.7305035451620766,40.59148716926575
Random Forest Classifier Scaled Mean,0.8557070814688543,0.7666181465308103,0.5047117073949848,0.6086872772801695,0.7303893742710869,40.92074131965637
Gradient Boosting Classifier,0.8488529014844804,0.7417410176030865,0.49129532023638395,0.5910837817063797,0.7211922552682125,27.93647575378418
Gradient Boosting Classifier Scaled Mean,0.8488529014844804,0.7418576598311218,0.4911356013416387,0.5910051893138574,0.7211352299990378,27.788345098495483
KNN Classifier Mean,0.8396548050287662,0.6953020134228188,0.4964063248682319,0.5792563600782779,0.7171030117285399,2.848639726638794
KNN Classifier Scaled Mean,0.8353221109453797,0.6779141104294478,0.49417026034179845,0.5716397228637413,0.7135188882199469,2.79482102394104
AdaBoost Classifier Mean,0.8431706797357766,0.7150851014222429,0.4898578501836767,0.5814218009478673,0.7170255593339719,5.97446870803833
AdaBoost Classifier Scaled Mean,0.8431351658498473,0.7145183806421591,0.49049672576265774,0.581683871578748,0.7172308262324729,5.960962533950806
