Model,Accuracy,Precision,Recall,F1-score,ROC AUC Score,Computational Time
Logistic Regression Classifier,0.8377725690745081,0.7084461955183452,0.45951126018207955,0.5574501065684945,0.7027199631046944,0.8548064231872559
Logistic Regression Classifier Scaled,0.8430641380779885,0.7187648456057008,0.48330937549912156,0.5779772705567758,0.7146190207632155,0.2828950881958008
Decision Tree Classifier,0.7887634064919383,0.5242748565224136,0.5398498642389394,0.5319483789738748,0.6998925075864286,2.462953567504883
Decision Tree Classifier Scaled,0.7882662120889268,0.5233922703802222,0.5342597029228557,0.5287701549162187,0.6975769446705433,2.4885919094085693
Random Forest Classifier,0.8558846508985013,0.7672894928415434,0.5050311451844753,0.6091311885956463,0.730617595700426,40.828672647476196
Random Forest Classifier Scaled,0.8557425953547837,0.7665454545454545,0.5050311451844753,0.6088965915655691,0.7305262589876343,40.91242027282715
Gradient Boosting Classifier,0.8489594431422687,0.7407673860911271,0.4933716658680722,0.5922730323075448,0.7220020863020774,27.174084901809692
Gradient Boosting Classifier Scaled,0.8489594431422687,0.7406519654841802,0.49353138476281744,0.5923511933288603,0.7220591115712521,27.174317836761475
KNN Classifier,0.8398678883443427,0.6964125560538117,0.49608688707874143,0.5794235612349595,0.717125966259378,3.0587449073791504
KNN Classifier Scaled,0.8362099580936146,0.6819686603398808,0.49353138476281744,0.572646404744255,0.7138616415981965,2.8194222450256348
AdaBoost Classifier,0.8431351658498473,0.7169411764705882,0.48666347228877177,0.5797735705451432,0.71586221977228,5.999262094497681
AdaBoost Classifier Scaled,0.8430286241920592,0.7162320883251115,0.4869829100782623,0.5797680167332192,0.7159077677760358,5.946334362030029
