Model,Accuracy,Precision,Recall,F1-score,ROC AUC Score,Computational Time
Logistic Regression Classifier,0.8494566375452802,0.723376049491825,0.5229196613959431,0.607026976916659,0.7328714395941675,0.8137013912200928
Logistic Regression Classifier Scaled,0.8565239008452304,0.7377435238706915,0.5503913112921258,0.6304427369191364,0.7472237873536026,0.5140581130981445
Decision Tree Classifier,0.8276866254705589,0.612378369755942,0.6131608369270085,0.6127693535514765,0.7510933654425425,3.4031105041503906
Decision Tree Classifier Scaled,0.8249520562539953,0.6061185468451242,0.6075706756109248,0.6068437425221344,0.7473392493001877,3.3437654972076416
Random Forest Classifier,0.8822714681440443,0.8223194748358862,0.6002236064526434,0.6939340781091312,0.7815704505296053,53.04131460189819
Random Forest Classifier Scaled,0.883407912493785,0.8203528399311532,0.609008145663632,0.6990558254652122,0.7854375340365473,53.123106479644775
Gradient Boosting Classifier,0.8647276084949215,0.7658282740676496,0.5641271362402173,0.6496827002667158,0.7574026556663479,53.86101579666138
Gradient Boosting Classifier Scaled,0.8645145251793451,0.7636912462268219,0.5657243251876697,0.6499678869621066,0.7578359032889072,53.70861482620239
KNN Classifier,0.846224873925705,0.708126751455055,0.5246765692381409,0.6027522935779817,0.7314208073390778,3.391483783721924
KNN Classifier Scaled,0.8542154982598196,0.71875,0.5657243251876697,0.6331218160693539,0.7512139916115085,3.2635624408721924
AdaBoost Classifier,0.8559556786703602,0.7326440177252584,0.5545440025555023,0.6312727272727272,0.7483410975009781,10.43780255317688
AdaBoost Classifier Scaled,0.8553164287236309,0.7276702061211743,0.5582175371346431,0.6317787418655099,0.7492416634844333,10.499454021453857
