Model,Accuracy,Precision,Recall,F1-score,ROC AUC Score,Computational Time
Logistic Regression Classifier,0.8494566375452802,0.723376049491825,0.5229196613959431,0.607026976916659,0.7328714395941675,0.7803852558135986
Logistic Regression Classifier Scaled,0.8565239008452304,0.7377435238706915,0.5503913112921258,0.6304427369191364,0.7472237873536026,0.5940208435058594
Decision Tree Classifier,0.8276511115846296,0.6123523779125439,0.612841399137518,0.6125967909315878,0.7509564807259952,3.28299617767334
Decision Tree Classifier Scaled,0.8265501811208182,0.6092683700999841,0.6131608369270085,0.6112084063047286,0.7503626717402088,3.3248932361602783
Random Forest Classifier,0.8833013708359969,0.8238623993032876,0.6043762977160198,0.6972544683987469,0.7837152986958871,53.423163414001465
Random Forest Classifier Scaled,0.8827331486611265,0.8162000427441761,0.6099664590321034,0.6981718464351007,0.7853458362658349,53.0919725894928
Gradient Boosting Classifier,0.8647276084949215,0.7658282740676496,0.5641271362402173,0.6496827002667158,0.7574026556663479,52.883495569229126
Gradient Boosting Classifier Scaled,0.8645145251793451,0.7636912462268219,0.5657243251876697,0.6499678869621066,0.7578359032889072,52.54975080490112
KNN Classifier,0.846224873925705,0.708126751455055,0.5246765692381409,0.6027522935779817,0.7314208073390778,3.1588592529296875
KNN Classifier Scaled,0.8542154982598196,0.71875,0.5657243251876697,0.6331218160693539,0.7512139916115085,3.34781551361084
AdaBoost Classifier,0.8559556786703602,0.7326440177252584,0.5545440025555023,0.6312727272727272,0.7483410975009781,10.536971092224121
AdaBoost Classifier Scaled,0.8553164287236309,0.7276702061211743,0.5582175371346431,0.6317787418655099,0.7492416634844333,10.55260181427002
